sample_id	library_id	datatag
SA039	A73044B	SA039
SA039	A73047D	SA039
SA039	A96199B	SA039
SA039	A96226B	SA039
SA1137	A96226B	SA039
SA532X1XB00118	A96157C	SA532
SA532X2XB00147	A96165A	SA532
SA532X3XB00210	A96179B	SA532
SA532X3XB00210	A96186C	SA532
SA532X4XB00273	A95732B	SA532
SA532X5XB00478	A96174B	SA532
SA532X7XB01216	A96177B	SA532
SA532X8XB01398	A96145A	SA532
SA532X9XB02755	A96162B	SA532
SA609X10XB02454	A96219B	SA609
SA609X1XB00290	A96172A	SA609
SA609X2XB00426	A96149A	SA609
SA609X3X8MB03073	A96244A	SA609X3X8a
SA609X3X8XB03074	A96205A	SA609X3X8a
SA609X3X8XB03176	A95628B	SA609X3X8a
SA609X3X8XB03241	A95673A	SA609X3X8a
SA609X3X8XB03300	A95618A	SA609X3X8a
SA609X3XB01584	A95724A	SA609
SA609X4XB003083	A95720A	SA000
SA609X4XB01721	A95664B	SA609
SA609X4XB03080	A95675A	SA001
SA609X5XB01844	A95724B	SA609
SA609X5XB03223	A98304A	SA001
SA609X5XB03230	A98289B	SA000
SA609X5XB03231	A98294A	SA001
SA609X6XB01899	A95632D	SA609
SA609X6XB03401	A98284B	SA001
SA609X6XB03404	A98284A	SA000
SA609X7XB02184	A95728A	SA609
SA609X7XB03505	A98176A	SA000
SA609X7XB03510	A98176B	SA001
SA609X8XB02312	A96184A	SA609
SA609X9XB02360	A96217B	SA609
SA609aRx4pX4XB01735	A95662A	SA666
SA609aRx8pX6XB01900	A95635B	SA666
SA609bRx8pX4XB01729	A95635D	SA666
SA906a	A96146A	SA906a
SA906a	A96175C	SA906a
SA906a	A96180B	SA906a
SA906a	A96183C	SA906a
SA906a	A96186A	SA906a
SA906a	A96210C	SA906a
SA906a	A96216A	SA906a
SA906b	A96149B	SA906b
SA906b	A96155B	SA906b
SA906b	A96172B	SA906b
SA906b	A96211C	SA906b
SA906b	A96215A	SA906b
SA906b	A96220B	SA906b
SA906b	A96228B	SA906b
